Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W8X40,8.25,8.07,0.56,0.36,0.954,11.7,146,49.1,35.5,12.2,39.8,18.5,3.53,2.04,1.12
W8X35,8.12,8.02,0.495,0.31,0.889,10.3,127,42.6,31.2,10.6,34.7,16.1,3.51,2.03,0.769
W8X31,8,8,0.435,0.285,0.829,9.13,110,37.1,27.5,9.27,30.4,14.1,3.47,2.02,0.536
W8X28,8.06,6.54,0.465,0.285,0.859,8.25,98,21.7,24.3,6.63,27.2,10.1,3.45,1.62,0.537
W8X24,7.93,6.5,0.4,0.245,0.794,7.08,82.7,18.3,20.9,5.63,23.1,8.57,3.42,1.61,0.346
W8X21,8.28,5.27,0.4,0.25,0.7,6.16,75.3,9.77,18.2,3.71,20.4,5.69,3.49,1.26,0.282
W8X18,8.14,5.25,0.33,0.23,0.63,5.26,61.9,7.97,15.2,3.04,17,4.66,3.43,1.23,0.172
W8X15,8.11,4.02,0.315,0.245,0.615,4.44,48,3.41,11.8,1.7,13.6,2.67,3.29,0.876,0.137
W8X13,7.99,4,0.255,0.23,0.555,3.84,39.6,2.73,9.91,1.37,11.4,2.15,3.21,0.843,0.0871
W8X10,7.89,3.94,0.205,0.17,0.505,2.96,30.8,2.09,7.81,1.06,8.87,1.66,3.22,0.841,0.0426
W6X25,6.38,6.08,0.455,0.32,0.705,7.34,53.4,17.1,16.7,5.61,18.9,8.56,2.7,1.52,0.461
W6X20,6.2,6.02,0.365,0.26,0.615,5.87,41.4,13.3,13.4,4.41,14.9,6.72,2.66,1.5,0.24
W6X15,5.99,5.99,0.26,0.23,0.51,4.43,29.1,9.32,9.72,3.11,10.8,4.75,2.56,1.45,0.101
W6X16,6.28,4.03,0.405,0.26,0.655,4.74,32.1,4.43,10.2,2.2,11.7,3.39,2.6,0.967,0.223
W6X12,6.03,4,0.28,0.23,0.53,3.55,22.1,2.99,7.31,1.5,8.3,2.32,2.49,0.918,0.0903
W6X9,5.9,3.94,0.215,0.17,0.465,2.68,16.4,2.2,5.56,1.11,6.23,1.72,2.47,0.905,0.0405
W6X8.5,5.83,3.94,0.195,0.17,0.445,2.52,14.9,1.99,5.1,1.01,5.73,1.56,2.43,0.89,0.0333
W5X19,5.15,5.03,0.43,0.27,0.73,5.56,26.3,9.13,10.2,3.63,11.6,5.53,2.17,1.28,0.316
W5X16,5.01,5,0.36,0.24,0.66,4.71,21.4,7.51,8.55,3,9.63,4.58,2.13,1.26,0.192
W4X13,4.16,4.06,0.345,0.28,0.595,3.83,11.3,3.86,5.46,1.9,6.28,2.92,1.72,1,0.151
